processor_transaction_id,card_id,customer_id,transaction_timestamp,transaction_type,merchant_name,amount,currency,merchant_category,auth_status
PTX557073,CARD006588,C004548,2023-11-01 01:55:51,PURCHASE,Prime Cinemas,30.647,JOD,Entertainment,APPROVED
PTX1028112,CARD012019,C008268,2023-11-01 02:08:46,PURCHASE,iSystem,941.426,JOD,Electronics,APPROVED
PTX557071,CARD006588,C004548,2023-11-01 05:06:34,PURCHASE,Netflix,102.921,JOD,Entertainment,APPROVED
PTX532232,CARD006299,C004344,2023-11-01 06:15:49,PURCHASE,Zain,1081.070,JOD,Telecom,APPROVED
PTX288356,CARD003419,C002382,2023-11-01 06:32:54,PURCHASE,JoPetrol,153.672,JOD,Fuel,APPROVED
PTX948681,CARD011103,C007621,2023-11-01 10:17:20,PURCHASE,City Mall Store,783.430,EUR,Retail,APPROVED
PTX1154908,CARD013447,C009249,2023-11-01 10:35:22,PURCHASE,Hypermax,2916.991,JOD,Groceries,APPROVED
PTX557076,CARD006588,C004548,2023-11-01 11:09:00,PURCHASE,SmartBuy,124.930,JOD,Retail,APPROVED
PTX557080,CARD006588,C004548,2023-11-01 14:29:31,PURCHASE,Orange,3.635,JOD,Telecom,APPROVED
PTX1148082,CARD013366,C009194,2023-11-01 14:30:36,PURCHASE,Leaders Center,2890.327,USD,Electronics,APPROVED
PTX1184139,CARD013752,C009451,2023-11-01 15:04:23,PURCHASE,Zain,1594.014,JOD,Telecom,APPROVED
PTX288357,CARD003419,C002382,2023-11-01 15:11:05,PURCHASE,SmartBuy,110.718,JOD,Retail,APPROVED
PTX1009075,CARD011782,C008095,2023-11-01 15:15:20,PURCHASE,Google Services,679.636,USD,Online Services,APPROVED
PTX717499,CARD008497,C005823,2023-11-01 19:21:24,PURCHASE,H&M,12.581,JOD,Clothing,APPROVED
PTX166786,CARD002103,C001460,2023-11-01 19:38:54,PURCHASE,Google Services,978.380,USD,Online Services,APPROVED
PTX436872,CARD005145,C003560,2023-11-01 20:59:38,PURCHASE,YouTube Premium,59.035,JOD,Subscriptions,APPROVED
PTX1154907,CARD013447,C009249,2023-11-02 07:18:15,PURCHASE,Orange,2605.481,JOD,Telecom,APPROVED
PTX198882,CARD002439,C001687,2023-11-02 14:32:46,PURCHASE,Zara,474.695,JOD,Clothing,APPROVED
PTX166131,CARD002097,C001456,2023-11-02 15:15:27,PURCHASE,Le Royal,1160.186,EUR,Hotels,APPROVED
PTX288362,CARD003419,C002382,2023-11-02 17:07:33,PURCHASE,Royal Jordanian,449.216,JOD,Travel,APPROVED
PTX1148092,CARD013366,C009194,2023-11-02 17:36:13,PURCHASE,TotalEnergies,2479.606,USD,Fuel,APPROVED
PTX729847,CARD008622,C005907,2023-11-02 21:19:36,PURCHASE,Wizz Air,3045.957,JOD,Travel,APPROVED
PTX522916,CARD006177,C004261,2023-11-02 23:09:29,PURCHASE,Royal Jordanian,217.657,JOD,Travel,APPROVED
PTX997600,CARD011644,C007991,2023-11-03 01:53:29,PURCHASE,Google Services,87.848,JOD,Online Services,APPROVED
PTX636829,CARD007512,C005169,2023-11-03 07:53:02,PURCHASE,Pharmacy One,2862.891,USD,Healthcare,APPROVED
PTX997597,CARD011644,C007991,2023-11-03 14:10:09,PURCHASE,American Eagle,208.479,JOD,Clothing,APPROVED
PTX166788,CARD002103,C001460,2023-11-03 18:34:22,PURCHASE,Royal Jordanian,337.746,USD,Travel,APPROVED
PTX725509,CARD008582,C005882,2023-11-03 20:15:45,PURCHASE,Umniah,369.843,JOD,Telecom,APPROVED
PTX054248,CARD000681,C000477,2023-11-03 21:52:59,PURCHASE,SmartBuy,6102.590,USD,Electronics,APPROVED
PTX1028111,CARD012019,C008268,2023-11-04 00:05:33,PURCHASE,Pharmacy One,896.851,JOD,Healthcare,APPROVED
PTX395963,CARD004637,C003213,2023-11-04 00:14:10,PURCHASE,Hypermax,273.492,JOD,Groceries,APPROVED
PTX1193227,CARD013861,C009528,2023-11-04 02:24:20,PURCHASE,Udemy,94.634,JOD,Education,APPROVED
PTX997599,CARD011644,C007991,2023-11-04 04:00:14,PURCHASE,Manaseer,245.746,JOD,Fuel,APPROVED
PTX522911,CARD006177,C004261,2023-11-04 04:18:10,PURCHASE,American Eagle,99.528,JOD,Clothing,APPROVED
PTX1028109,CARD012019,C008268,2023-11-04 07:16:29,PURCHASE,Zara,479.698,JOD,Clothing,APPROVED
PTX123068,CARD001607,C001122,2023-11-04 07:59:45,PURCHASE,Spotify,384.530,JOD,Subscriptions,APPROVED
PTX478653,CARD005639,C003892,2023-11-04 08:08:54,PURCHASE,Manaseer,1090.904,USD,Fuel,APPROVED
PTX532230,CARD006299,C004344,2023-11-04 13:22:06,PURCHASE,Google Services,1138.517,JOD,Online Services,APPROVED
PTX054246,CARD000681,C000477,2023-11-04 16:29:56,PURCHASE,Wizz Air,4063.104,USD,Travel,APPROVED
PTX522913,CARD006177,C004261,2023-11-04 18:56:35,PURCHASE,Hypermax,362.574,JOD,Groceries,APPROVED
PTX1193226,CARD013861,C009528,2023-11-05 04:00:23,PURCHASE,PlayStation Network,207.213,JOD,Entertainment,APPROVED
PTX1184141,CARD013752,C009451,2023-11-05 04:19:21,PURCHASE,Udemy,2765.601,JOD,Education,APPROVED
PTX814735,CARD009584,C006562,2023-11-05 04:57:03,PURCHASE,Orange,324.636,JOD,Telecom,APPROVED
PTX1019820,CARD011909,C008189,2023-11-05 06:16:20,PURCHASE,Microsoft 365,165.270,JOD,Subscriptions,APPROVED
PTX166787,CARD002103,C001460,2023-11-05 07:16:29,PURCHASE,Orange,1379.704,USD,Telecom,APPROVED
PTX1148083,CARD013366,C009194,2023-11-05 07:38:27,PURCHASE,Shawerma Reem,2707.730,USD,Restaurants,APPROVED
PTX435706,CARD005130,C003547,2023-11-05 09:31:56,PURCHASE,Almonds Coffee House,371.518,JOD,Restaurants,APPROVED
PTX1249257,CARD005130,C003547,2023-11-05 09:42:56,PURCHASE,Almonds Coffee House,3012.754,JOD,Restaurants,DECLINED
PTX435704,CARD005130,C003547,2023-11-05 12:33:22,PURCHASE,Biolab,246.926,JOD,Healthcare,APPROVED
PTX972183,CARD011372,C007799,2023-11-05 14:43:40,PURCHASE,Biolab,1564.211,EUR,Healthcare,APPROVED
